vin_label,test,horizon_days,current_age_days,actual_days,model_pred_days,dummyA_pred_days,dummyB_pred_days,p10_days,p90_days,model_abs_err,dummyA_abs_err,pi_covered
VIN1_F_ALT,total_ttf,,0.0,596.0,726.4,606.0,606.0,496.7,944.9,130.4,10.0,True
VIN1_F_ALT,rewound,270.0,326.0,270.0,402.7,280.0,4.5,180.9,624.3,132.7,10.0,True
VIN1_F_ALT,rewound,180.0,416.0,180.0,319.8,190.0,4.5,119.5,529.6,139.8,10.0,True
VIN1_F_ALT,rewound,90.0,506.0,90.0,247.2,100.0,4.5,73.4,444.3,157.2,10.0,True
VIN10_F_ALT,total_ttf,,0.0,472.0,728.9,606.0,606.0,503.9,939.1,256.9,134.0,False
VIN10_F_ALT,rewound,270.0,202.0,270.0,533.8,404.0,4.5,311.5,725.2,263.8,134.0,False
VIN10_F_ALT,rewound,180.0,292.0,180.0,438.5,314.0,4.5,219.4,642.8,258.5,134.0,False
VIN10_F_ALT,rewound,90.0,382.0,90.0,354.9,224.0,4.5,147.3,553.1,264.9,134.0,False
VIN2_F_ALT,total_ttf,,0.0,627.0,725.9,596.0,596.0,497.6,936.8,98.9,31.0,True
VIN2_F_ALT,rewound,270.0,357.0,270.0,375.3,239.0,-5.5,157.0,585.0,105.3,31.0,True
VIN2_F_ALT,rewound,180.0,447.0,180.0,292.6,149.0,-5.5,97.4,498.6,112.6,31.0,True
VIN2_F_ALT,rewound,90.0,537.0,90.0,222.1,59.0,-5.5,61.4,416.2,132.1,31.0,True
VIN3_F_ALT,total_ttf,,0.0,591.0,726.4,606.0,606.0,495.8,939.6,135.4,15.0,True
VIN3_F_ALT,rewound,270.0,321.0,270.0,404.8,285.0,4.5,179.2,613.5,134.8,15.0,True
VIN3_F_ALT,rewound,180.0,411.0,180.0,327.3,195.0,4.5,126.9,531.3,147.3,15.0,True
VIN3_F_ALT,rewound,90.0,501.0,90.0,258.7,105.0,4.5,73.2,453.0,168.7,15.0,True
VIN4_F_ALT,total_ttf,,0.0,664.0,725.4,596.0,596.0,493.8,941.2,61.4,68.0,True
VIN4_F_ALT,rewound,270.0,394.0,270.0,347.2,202.0,-5.5,141.2,559.8,77.2,68.0,True
VIN4_F_ALT,rewound,180.0,484.0,180.0,268.0,112.0,-5.5,80.5,469.9,88.0,68.0,True
VIN4_F_ALT,rewound,90.0,574.0,90.0,197.1,22.0,-5.5,49.4,389.8,107.1,68.0,True
VIN5_F_ALT,total_ttf,,0.0,661.0,725.4,596.0,596.0,490.3,941.3,64.4,65.0,True
VIN5_F_ALT,rewound,270.0,391.0,270.0,338.1,205.0,-5.5,123.7,558.5,68.1,65.0,True
VIN5_F_ALT,rewound,180.0,481.0,180.0,267.9,115.0,-5.5,82.3,469.6,87.9,65.0,True
VIN5_F_ALT,rewound,90.0,571.0,90.0,196.5,25.0,-5.5,48.9,390.8,106.5,65.0,True
VIN6_F_ALT,total_ttf,,0.0,552.0,727.4,606.0,606.0,487.5,944.0,175.4,54.0,True
VIN6_F_ALT,rewound,270.0,282.0,270.0,451.0,324.0,4.5,221.6,658.5,181.0,54.0,True
VIN6_F_ALT,rewound,180.0,372.0,180.0,371.8,234.0,4.5,158.5,573.3,191.8,54.0,True
VIN6_F_ALT,rewound,90.0,462.0,90.0,284.8,144.0,4.5,93.2,483.7,194.8,54.0,False
VIN7_F_ALT,total_ttf,,0.0,673.0,725.4,596.0,596.0,490.6,943.5,52.4,77.0,True
VIN7_F_ALT,rewound,270.0,403.0,270.0,326.9,193.0,-5.5,118.1,538.7,56.9,77.0,True
VIN7_F_ALT,rewound,180.0,493.0,180.0,254.8,103.0,-5.5,76.0,456.2,74.8,77.0,True
VIN7_F_ALT,rewound,90.0,583.0,90.0,183.6,13.0,-5.5,46.6,378.4,93.6,77.0,True
VIN8_F_ALT,total_ttf,,0.0,573.0,727.0,606.0,606.0,492.9,942.9,154.0,33.0,True
VIN8_F_ALT,rewound,270.0,303.0,270.0,430.1,303.0,4.5,202.4,642.1,160.1,33.0,True
VIN8_F_ALT,rewound,180.0,393.0,180.0,344.2,213.0,4.5,139.7,552.3,164.2,33.0,True
VIN8_F_ALT,rewound,90.0,483.0,90.0,268.4,123.0,4.5,84.6,468.3,178.4,33.0,True
VIN9_F_ALT,total_ttf,,0.0,606.0,726.4,596.0,596.0,501.3,941.4,120.4,10.0,True
VIN9_F_ALT,rewound,270.0,336.0,270.0,394.5,260.0,-5.5,173.6,614.0,124.5,10.0,True
VIN9_F_ALT,rewound,180.0,426.0,180.0,315.5,170.0,-5.5,117.7,525.6,135.5,10.0,True
VIN9_F_ALT,rewound,90.0,516.0,90.0,234.5,80.0,-5.5,67.6,425.7,144.5,10.0,True
