vin_label,failed_flag,lifecycle_stage,current_age_days,median_rul_days,rul_p10_days,rul_p90_days,pi_width_days,km_per_day_est,ehrs_per_day_est,median_rul_km,rul_p10_km,rul_p90_km,median_rul_ehrs,rul_p10_ehrs,rul_p90_ehrs,km_is_estimated
VIN11_NF_ALT,0,MID,766.0,87.0,15.9,231.6,215.7,182.64,9.08,15884.0,2911.0,42304.0,789.7,144.7,2103.1,True
VIN10_NF_ALT,0,MID,761.0,88.5,15.8,238.6,222.8,153.48,5.55,13582.0,2418.0,36614.0,491.1,87.4,1324.0,True
VIN2_NF_ALT,0,MID,758.0,89.5,16.4,236.9,220.5,155.06,5.76,13884.0,2542.0,36739.0,515.7,94.4,1364.7,True
VIN1_NF_ALT,0,MID,747.0,97.3,13.9,316.6,302.7,164.22,7.89,15975.0,2284.0,51991.0,767.6,109.7,2497.9,True
VIN6_NF_ALT,0,LATE,727.0,102.4,18.8,256.6,237.9,233.2,6.94,23883.0,4380.0,59847.0,710.8,130.4,1781.1,True
VIN5_NF_ALT,0,MID,721.0,105.5,19.8,265.2,245.3,159.72,6.24,16854.0,3169.0,42352.0,658.5,123.8,1654.7,True
VIN7_NF_ALT,0,MID,719.0,106.4,20.2,262.5,242.4,180.94,5.72,19244.0,3647.0,47502.0,608.4,115.3,1501.7,True
VIN3_NF_ALT,0,MID,693.0,116.2,22.9,280.6,257.7,191.04,6.63,22198.0,4383.0,53604.0,770.4,152.1,1860.4,True
VIN13_NF_ALT,0,MID,691.0,118.4,23.8,283.4,259.5,170.13,6.82,20152.0,4053.0,48209.0,807.8,162.5,1932.5,True
VIN4_NF_ALT,0,MID,685.0,123.5,23.9,287.8,263.9,152.02,7.97,18782.0,3633.0,43757.0,984.7,190.5,2294.0,True
VIN14_NF_ALT,0,MID,656.0,137.7,28.5,309.2,280.6,198.31,7.29,27298.0,5653.0,61307.0,1003.5,207.8,2253.7,True
VIN15_NF_ALT,0,MID,634.0,151.0,32.9,325.5,292.6,236.58,8.74,35721.0,7783.0,76997.0,1319.6,287.5,2844.5,True
VIN12_NF_ALT,0,MID,581.0,183.0,44.2,371.4,327.2,202.1,7.09,36993.0,8923.0,75053.0,1297.8,313.0,2633.0,True
VIN9_NF_ALT,0,LATE,574.0,189.5,47.3,377.0,329.7,272.4,8.85,51630.0,12892.0,102699.0,1677.4,418.8,3336.6,True
VIN8_NF_ALT,0,MID,513.0,234.5,67.5,428.1,360.6,224.06,9.84,52532.0,15113.0,95914.0,2307.1,663.7,4212.3,True
VIN1_F_ALT,1,MID,596.0,0.0,0.0,0.0,0.0,227.12,8.94,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN10_F_ALT,1,MID,472.0,0.0,0.0,0.0,0.0,262.7,9.82,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN2_F_ALT,1,MID,627.0,0.0,0.0,0.0,0.0,166.62,6.2,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN3_F_ALT,1,LATE,591.0,0.0,0.0,0.0,0.0,258.26,8.1,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN4_F_ALT,1,MID,664.0,0.0,0.0,0.0,0.0,173.97,5.72,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN5_F_ALT,1,MID,661.0,0.0,0.0,0.0,0.0,164.09,6.81,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN6_F_ALT,1,MID,552.0,0.0,0.0,0.0,0.0,215.88,7.21,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN7_F_ALT,1,MID,673.0,0.0,0.0,0.0,0.0,167.6,7.07,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN8_F_ALT,1,MID,573.0,0.0,0.0,0.0,0.0,212.65,8.64,0.0,0.0,0.0,0.0,0.0,0.0,True
VIN9_F_ALT,1,LATE,606.0,0.0,0.0,0.0,0.0,285.33,9.77,0.0,0.0,0.0,0.0,0.0,0.0,True
