VIN,Failure_Status,Data_Start_Date,Data_End_Date,Observed_Span_days,Current_RUL_median_days,Predicted_RUL_days,RUL_p10_days,RUL_p90_days,Forecast_Failure_Date,EndOfLife_est_km,EndOfLife_est_engine_hrs,km_per_day_est,GREEN_to_YELLOW_entry,YELLOW_to_ORANGE_entry,ORANGE_to_BLACK_entry,Current_Zone,Final_Zone_Reached,Risk_prob,Risk_tier,GED2_emergency,variant,emergency_state,x1,x2
VIN1_F_ALT,FAILED,2024-04-01,2025-11-18,596.0,0.0,0.0,0.0,0.0,,135365.0,5328.0,227.1,2025-11-05,2025-11-17,2025-11-17,EVENT,BLACK,0.6058,red,True,M0,emergency,,
VIN2_F_ALT,FAILED,2024-04-01,2025-12-16,627.0,0.0,0.0,0.0,0.0,,104473.0,3887.0,166.6,2025-11-07,2025-12-15,2025-12-15,EVENT,BLACK,0.6085,red,False,M0,none,,
VIN3_F_ALT,FAILED,2024-02-19,2025-09-27,591.0,0.0,0.0,0.0,0.0,,152634.0,4787.0,258.3,2025-09-22,2025-09-24,2025-09-26,EVENT,BLACK,0.7603,red,False,M0,none,,
VIN4_F_ALT,FAILED,2024-02-05,2025-11-25,664.0,0.0,0.0,0.0,0.0,,115517.0,3798.0,174.0,2025-09-08,2025-11-24,2025-11-24,EVENT,BLACK,0.4456,amber,False,M0,none,,
VIN5_F_ALT,FAILED,2024-02-05,2025-11-22,661.0,0.0,0.0,0.0,0.0,,108462.0,4501.0,164.1,2025-09-08,2025-11-18,2025-11-20,EVENT,BLACK,0.2799,green,False,M0,none,,
VIN6_F_ALT,FAILED,2024-04-01,2025-09-30,552.0,0.0,0.0,0.0,0.0,,119166.0,3980.0,215.9,2025-09-29,2025-09-29,2025-09-29,EVENT,BLACK,0.7112,red,False,M0,none,,
VIN7_F_ALT,FAILED,2024-02-05,2025-12-04,673.0,0.0,0.0,0.0,0.0,,112798.0,4758.0,167.6,2025-09-10,2025-12-01,2025-12-03,EVENT,BLACK,0.7178,red,False,M0,none,,
VIN8_F_ALT,FAILED,2024-05-06,2025-11-24,573.0,0.0,0.0,0.0,0.0,,121846.0,4951.0,212.7,2025-11-24,2025-11-24,2025-11-24,EVENT,BLACK,0.8923,red,False,M0,early-watch,,
VIN9_F_ALT,FAILED,2024-05-06,2025-12-27,606.0,0.0,0.0,0.0,0.0,,172911.0,5921.0,285.3,2025-12-07,2025-12-24,2025-12-26,EVENT,BLACK,0.4919,amber,False,M0,none,,
VIN10_F_ALT,FAILED,2024-09-02,2025-12-16,472.0,0.0,0.0,0.0,0.0,,123993.0,4635.0,262.7,2025-12-15,2025-12-15,2025-12-15,EVENT,BLACK,0.6263,red,True,M0,emergency,,
VIN11_NF_ALT,IN_SERVICE,2024-02-05,2026-02-18,747.0,97.3,97.3,13.9,316.6,2026-05-26,138649.0,6662.0,164.2,2025-09-10,2026-02-24,2026-04-16,YELLOW,BLACK,0.2553,green,False,M0,none,0.0000,0.0000
VIN12_NF_ALT,IN_SERVICE,2024-01-22,2026-02-18,758.0,89.5,89.5,16.4,236.9,2026-05-18,131416.0,4882.0,155.1,2025-08-31,2026-02-15,2026-04-09,ORANGE,BLACK,0.3956,amber,False,M0,none,1.6094,0.0000
VIN13_NF_ALT,IN_SERVICE,2024-03-25,2026-02-13,693.0,116.2,116.2,22.9,280.6,2026-06-09,154586.0,5365.0,191.0,2025-10-29,2026-03-08,2026-04-28,YELLOW,BLACK,0.4906,amber,False,M0,none,2.9957,0.0000
VIN14_NF_ALT,IN_SERVICE,2024-04-08,2026-02-17,685.0,123.5,123.5,23.9,287.8,2026-06-20,122911.0,6444.0,152.0,2025-11-08,2026-03-18,2026-05-08,YELLOW,BLACK,0.4257,amber,False,M0,none,3.1355,0.0000
VIN15_NF_ALT,IN_SERVICE,2024-03-11,2026-02-18,721.0,105.5,105.5,19.8,265.2,2026-06-03,132007.0,5157.0,159.7,2025-10-07,2026-03-04,2026-04-23,YELLOW,BLACK,0.325,green,False,M0,none,3.3322,0.0000
VIN16_NF_ALT,IN_SERVICE,2024-02-26,2026-02-18,727.0,102.4,102.4,18.8,256.6,2026-05-31,193415.0,5756.0,233.2,2025-09-29,2026-03-01,2026-04-21,YELLOW,BLACK,0.4133,amber,False,M0,none,0.0000,0.0000
VIN17_NF_ALT,IN_SERVICE,2024-03-04,2026-02-18,719.0,106.4,106.4,20.2,262.5,2026-06-04,149346.0,4721.0,180.9,2025-10-11,2026-03-05,2026-04-24,YELLOW,BLACK,0.4116,amber,False,M0,none,2.8332,0.0000
VIN18_NF_ALT,IN_SERVICE,2024-01-01,2025-05-27,513.0,234.5,234.5,67.5,428.1,2026-01-16,167484.0,7355.0,224.1,2025-07-14,2025-09-27,2025-11-26,GREEN,BLACK,0.3934,amber,False,M0,none,4.0073,0.0000
VIN19_NF_ALT,IN_SERVICE,2024-01-01,2025-07-28,574.0,189.5,189.5,47.3,377.0,2026-02-02,207978.0,6757.0,272.4,2025-08-06,2025-10-21,2025-12-16,GREEN,BLACK,0.1053,green,False,M0,none,2.1972,0.0000
VIN20_NF_ALT,IN_SERVICE,2024-01-22,2026-02-18,761.0,88.5,88.5,15.8,238.6,2026-05-17,130381.0,4715.0,153.5,2025-08-27,2026-02-12,2026-04-08,ORANGE,BLACK,0.4389,amber,False,M0,none,1.6094,0.0000
VIN21_NF_ALT,IN_SERVICE,2024-01-15,2026-02-16,766.0,87.0,87.0,15.9,231.6,2026-05-14,155794.0,7745.0,182.6,2025-08-18,2026-02-10,2026-04-05,ORANGE,BLACK,0.2559,green,False,M0,none,1.7918,0.0000
VIN22_NF_ALT,IN_SERVICE,2024-07-22,2026-02-18,581.0,183.0,183.0,44.2,371.4,2026-08-20,154402.0,5417.0,202.1,2026-02-20,2026-05-08,2026-07-03,GREEN,BLACK,0.0421,green,False,M0,none,1.0986,0.0000
VIN23_NF_ALT,IN_SERVICE,2024-03-25,2026-02-11,691.0,118.4,118.4,23.8,283.4,2026-06-09,137706.0,5520.0,170.1,2025-10-30,2026-03-08,2026-04-28,YELLOW,BLACK,0.2104,green,False,M0,none,0.6931,0.0000
VIN24_NF_ALT,IN_SERVICE,2024-05-06,2026-02-18,656.0,137.7,137.7,28.5,309.2,2026-07-05,157397.0,5786.0,198.3,2025-12-06,2026-03-31,2026-05-22,YELLOW,BLACK,0.3162,green,False,M0,none,0.6931,0.0000
VIN25_NF_ALT,IN_SERVICE,2024-01-01,2025-09-26,634.0,151.0,151.0,32.9,325.5,2026-02-24,185716.0,6861.0,236.6,2025-08-11,2025-11-17,2026-01-10,YELLOW,BLACK,0.3987,amber,False,M0,none,3.4965,0.0000
