heuristic,family,engineering_meaning,failed_mean,healthy_mean,failed_median,healthy_median,failed_std,healthy_std,failed_p10,failed_p25,failed_p50,failed_p75,failed_p90,healthy_p10,healthy_p25,healthy_p50,healthy_p75,healthy_p90,auroc,cliffs_delta,mwu_p,separation,importance
vsi_std_ratio_30d,A,late-life voltage scatter vs early-life baseline,1.116807,0.722899,1.000433,0.615516,0.651045,0.366445,0.439570,0.678338,1.000433,1.491562,1.788298,0.323934,0.431271,0.615516,0.979199,1.115548,0.693333,0.386667,0.113902,MEDIUM,0.154700
vsi_dominant_freq,A,dominant FFT frequency of daily voltage (rhythm vs drift),0.095259,0.014652,0.015983,0.003868,0.172822,0.022276,0.002136,0.005205,0.015983,0.034233,0.417460,0.002448,0.003494,0.003868,0.010632,0.047987,0.650000,0.300000,0.222247,SMALL,0.105300
vsi_spectral_entropy,A,voltage spectrum disorder (clean rhythm vs broadband noise),0.928834,0.896356,0.929192,0.914065,0.015406,0.055001,0.909483,0.926153,0.929192,0.934964,0.939422,0.860972,0.897843,0.914065,0.923645,0.930195,0.813333,0.626667,0.009898,STRONG,0.057300
bat_charge_delta_trend_right,A,trend of cruise-minus-resting voltage (charging headroom loss),0.002284,-0.000965,0.001492,0.000745,0.013729,0.008378,-0.009389,-0.005738,0.001492,0.013266,0.019462,-0.013677,-0.002694,0.000745,0.004752,0.006319,0.560000,0.120000,0.637287,NEGLIGIBLE,0.034000
vsi_range_trend_last30d,A,slope of daily voltage min-max range late in life,0.123471,-0.024229,0.065598,-0.011474,0.252324,0.071346,-0.052272,-0.006811,0.065598,0.155019,0.279090,-0.110801,-0.052790,-0.011474,0.021087,0.037778,0.740000,0.480000,0.048932,STRONG,0.061300
progressive_drift,A,cumulative drift of daily voltage from baseline,0.095454,0.706862,0.086816,0.606072,0.062537,1.008904,0.028600,0.043761,0.086816,0.131741,0.169286,-0.101970,0.154973,0.606072,0.762452,0.968262,0.264286,-0.471429,0.057040,MEDIUM,0.048000
crank_recovery_t,B,seconds for voltage to recover to 27V after a crank,0.427710,0.005699,0.019681,0.000289,1.070152,0.011529,0.000000,0.000135,0.019681,0.258517,0.707553,0.000000,0.000000,0.000289,0.002644,0.021689,0.680000,0.360000,0.132299,MEDIUM,0.600000
vsi_ceiling,B,regulation plateau voltage at high RPM,28.066526,28.112144,28.026234,28.138928,0.147996,0.134547,27.934092,27.964755,28.026234,28.179396,28.251914,27.937572,28.051590,28.138928,28.192655,28.205593,0.413333,-0.173333,0.488074,SMALL,0.200000
vsi_resid_mean,B,voltage residual vs healthy-fleet expected surface,0.037412,0.085801,0.021811,0.123581,0.131951,0.127945,-0.083023,-0.052220,0.021811,0.147283,0.171454,-0.085411,0.015564,0.123581,0.179965,0.188156,0.373333,-0.253333,0.304800,SMALL,0.200000
resting_vsi_mean,B,engine-off resting voltage level,24.551104,24.939222,24.569207,25.125624,0.563372,0.601435,23.996638,24.313868,24.569207,24.761414,25.244299,24.444107,24.632727,25.125624,25.343175,25.552919,0.293333,-0.413333,0.090677,MEDIUM,0.300000
ged_churn,B,rate of GED state-transition churn (excitation instability),0.613333,0.000000,0.000000,0.000000,1.904653,0.000000,0.000000,0.000000,0.000000,0.000000,0.693333,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.200000,0.087480,SMALL,0.200000
