vin,dname,failed,ridge_prob,band,alert,red,ged_lead,hard_lead,hard_channel,cond_lead,cond_zone,prec_fired,earliest_signal,mode
VIN1_F_ALT,VIN1_F_ALT,True,0.6058,red,True,True,21,21,GED storm,199,ORANGE,False,199,gradual
VIN2_F_ALT,VIN2_F_ALT,True,0.6085,red,True,True,0,16,under-voltage sag,7,ORANGE,True,16,short-lead
VIN3_F_ALT,VIN3_F_ALT,True,0.7603,red,True,True,0,0,,0,,False,0,abrupt
VIN4_F_ALT,VIN4_F_ALT,True,0.4456,amber,True,False,0,0,,0,,False,0,abrupt
VIN5_F_ALT,VIN5_F_ALT,True,0.2799,green,False,False,0,0,,0,,False,0,abrupt
VIN6_F_ALT,VIN6_F_ALT,True,0.7112,red,True,True,0,11,crank-recovery t,0,,True,11,short-lead
VIN7_F_ALT,VIN7_F_ALT,True,0.7178,red,True,True,0,0,,0,,False,0,abrupt
VIN8_F_ALT,VIN8_F_ALT,True,0.8923,red,True,True,0,0,,0,,False,0,abrupt
VIN9_F_ALT,VIN9_F_ALT,True,0.4919,amber,True,False,0,0,,0,,False,0,abrupt
VIN10_F_ALT,VIN10_F_ALT,True,0.6263,red,True,True,1,11,crank-recovery t,0,ORANGE,True,11,short-lead
VIN1_NF_ALT,VIN11_NF_ALT,False,0.2553,green,False,False,0,0,,0,,False,0,
VIN2_NF_ALT,VIN12_NF_ALT,False,0.3956,amber,True,False,0,0,,0,,False,0,
VIN3_NF_ALT,VIN13_NF_ALT,False,0.4906,amber,True,False,0,0,,0,,False,0,
VIN4_NF_ALT,VIN14_NF_ALT,False,0.4257,amber,True,False,0,0,,0,,False,0,
VIN5_NF_ALT,VIN15_NF_ALT,False,0.325,green,False,False,0,0,,0,,False,0,
VIN6_NF_ALT,VIN16_NF_ALT,False,0.4133,amber,True,False,0,0,,0,,False,0,
VIN7_NF_ALT,VIN17_NF_ALT,False,0.4116,amber,True,False,0,0,,0,,False,0,
VIN8_NF_ALT,VIN18_NF_ALT,False,0.3934,amber,True,False,0,0,,0,,False,0,
VIN9_NF_ALT,VIN19_NF_ALT,False,0.1053,green,False,False,0,0,,0,,False,0,
VIN10_NF_ALT,VIN20_NF_ALT,False,0.4389,amber,True,False,0,0,,0,,False,0,
VIN11_NF_ALT,VIN21_NF_ALT,False,0.2559,green,False,False,0,0,,0,,False,0,
VIN12_NF_ALT,VIN22_NF_ALT,False,0.0421,green,False,False,0,0,,0,,False,0,
VIN13_NF_ALT,VIN23_NF_ALT,False,0.2104,green,False,False,0,0,,0,,False,0,
VIN14_NF_ALT,VIN24_NF_ALT,False,0.3162,green,False,False,0,0,,0,,False,0,
VIN15_NF_ALT,VIN25_NF_ALT,False,0.3987,amber,True,False,0,0,,0,,False,0,
