frac,vin,actual,cal_pred,usg_pred,cal_err,usg_err
0.0,VIN1_F_ALT,607.0,618.9498631152882,557.887584550967,11.949863115288167,-49.11241544903305
0.0,VIN2_F_ALT,627.0,616.4703965646344,781.8685039462387,-10.52960343536563,154.86850394623866
0.0,VIN3_F_ALT,657.0,612.6259965388732,481.8213509227359,-44.37400346112679,-175.17864907726408
0.0,VIN4_F_ALT,664.0,611.7803669797914,742.1139823889516,-52.21963302020856,78.11398238895163
0.0,VIN5_F_ALT,661.0,612.1363849743102,791.4363926900778,-48.863615025689796,130.4363926900778
0.0,VIN6_F_ALT,552.0,624.6751122360304,596.1257853642172,72.67511223603037,44.12578536421722
0.0,VIN7_F_ALT,673.0,610.811460864922,772.1068719959119,-62.18853913507803,99.10687199591189
0.0,VIN8_F_ALT,573.0,622.6959086165432,603.7110105131945,49.69590861654319,30.711010513194537
0.0,VIN9_F_ALT,608.0,618.8299223357255,429.5667168614013,10.829922335725541,-178.4332831385987
0.0,VIN10_F_ALT,472.0,631.0225534304204,487.71910603000896,159.02255343042043,15.719106030008959
0.5,VIN1_F_ALT,303.5,315.45266357672426,262.6273275755717,11.952663576724262,-40.87267242442829
0.5,VIN2_F_ALT,313.5,302.9765036565859,468.77748433016717,-10.523496343414081,155.27748433016717
0.5,VIN3_F_ALT,328.5,284.1377349734747,191.1645560910578,-44.36226502652528,-137.3354439089422
0.5,VIN4_F_ALT,332.0,279.79225354010384,411.1152256198894,-52.20774645989616,79.11522561988937
0.5,VIN5_F_ALT,330.5,281.64832269065175,461.5401327265903,-48.85167730934825,131.0401327265903
0.5,VIN6_F_ALT,276.0,348.67523742092953,321.1867726514511,72.67523742092953,45.18677265145112
0.5,VIN7_F_ALT,336.5,274.3218457061929,436.4401059233464,-62.1781542938071,99.94010592334638
0.5,VIN8_F_ALT,286.5,336.19638273464557,318.5188309192552,49.69638273464557,32.01883091925521
0.5,VIN9_F_ALT,304.0,314.83284914345677,129.40961383134209,10.83284914345677,-174.59038616865791
0.5,VIN10_F_ALT,236.0,395.0225535693563,252.93942603377315,159.02255356935632,16.939426033773145
0.8,VIN1_F_ALT,121.39999999999998,134.99802049143125,115.79070813782269,13.59802049143127,-5.609291862177287
0.8,VIN2_F_ALT,125.39999999999998,117.83388479680013,287.88697599540234,-7.566115203199843,162.48697599540236
0.8,VIN3_F_ALT,131.39999999999998,92.71995117082884,65.52392345430985,-38.68004882917114,-65.87607654569013
0.8,VIN4_F_ALT,132.79999999999998,86.90115653908413,226.81522394919853,-45.898843460915856,94.01522394919854
0.8,VIN5_F_ALT,132.19999999999996,89.39786015575828,273.086860916849,-42.80213984424168,140.88686091684903
0.8,VIN6_F_ALT,110.39999999999998,183.2593587342451,170.566556241511,72.85935873424512,60.16655624151102
0.8,VIN7_F_ALT,134.59999999999997,79.34147208606066,247.51915934808468,-55.258527913939304,112.91915934808472
0.8,VIN8_F_ALT,114.59999999999998,164.76515141852911,164.3386966911511,50.165151418529135,49.738696691151134
0.8,VIN9_F_ALT,121.59999999999997,134.13176155012064,18.76227261514603,12.531761550120677,-102.83772738485393
0.8,VIN10_F_ALT,94.39999999999998,253.42393525904913,127.45572111586263,159.02393525904915,33.05572111586265
