group,vin_label,early_watch_horizon_days,n_votes,fired
FAILED,VIN4_F_ALT,none,0,False
FAILED,VIN5_F_ALT,none,0,False
FAILED,VIN9_F_ALT,none,0,False
FAILED,VIN6_F_ALT,none,0,False
FAILED,VIN10_F_ALT,7,2,True
FAILED,VIN8_F_ALT,90,2,True
FAILED,VIN1_F_ALT,60,2,True
FAILED,VIN7_F_ALT,none,0,False
FAILED,VIN2_F_ALT,7,4,True
FAILED,VIN3_F_ALT,none,0,False
NF,VIN1_NF_ALT,none,0,False
NF,VIN2_NF_ALT,none,0,False
NF,VIN3_NF_ALT,none,0,False
NF,VIN4_NF_ALT,none,0,False
NF,VIN5_NF_ALT,none,0,False
NF,VIN6_NF_ALT,none,0,False
NF,VIN7_NF_ALT,none,0,False
NF,VIN8_NF_ALT,none,0,False
NF,VIN9_NF_ALT,none,0,False
NF,VIN10_NF_ALT,none,0,False
NF,VIN11_NF_ALT,none,0,False
NF,VIN12_NF_ALT,none,0,False
NF,VIN13_NF_ALT,none,0,False
NF,VIN14_NF_ALT,none,0,False
NF,VIN15_NF_ALT,none,0,False
