vin_label,v1062_horizon,v1062_feature,v11_horizon,v11_feature,earlier,new_in_v11
VIN8_F_ALT,7,resting_vsi_mean,7,crank_recovery_t,False,False
VIN2_F_ALT,14,crank_vsi_min,14,crank_vsi_min,False,False
VIN4_F_ALT,none,,none,,False,False
VIN7_F_ALT,none,,none,,False,False
VIN5_F_ALT,none,,none,,False,False
VIN1_F_ALT,30,ged2_frac,60,crank_recovery_t,True,False
VIN6_F_ALT,60,vsi_sag_frac,60,vsi_sag_frac,False,False
VIN3_F_ALT,none,,none,,False,False
VIN10_F_ALT,7,vsi_sag_frac,7,vsi_sag_frac,False,False
VIN9_F_ALT,none,,30,crank_recovery_t,True,True
