vin,failed,c0,c1,c2,c3,nnull,ntot,ged2_frac_obs,ged3_frac_obs,null_frac
VIN10_NF_ALT,false,3170750,0,0,0,70992,3241742,0.0,0.0,0.021899336838033377
VIN11_NF_ALT,false,4846428,0,315,0,47024,4893767,0.00006499209881770088,0.0,0.009608957680249183
VIN12_NF_ALT,false,3054061,0,0,0,222841,3276902,0.0,0.0,0.06800355945951389
VIN13_NF_ALT,false,3394978,0,0,0,237757,3632735,0.0,0.0,0.06544848440637702
VIN14_NF_ALT,false,3428690,0,0,0,58987,3487677,0.0,0.0,0.016912976746413157
VIN15_NF_ALT,false,9714,0,27,5756,4229210,4244707,0.001742272697941537,0.3714267277537588,0.9963491001852425
VIN1_NF_ALT,false,3454231,0,0,0,855131,4309362,0.0,0.0,0.19843563850054835
VIN2_NF_ALT,false,3151316,0,0,0,74409,3225725,0.0,0.0,0.02306737245115439
VIN3_NF_ALT,false,2128350,0,0,0,1363962,3492312,0.0,0.0,0.3905613244177496
VIN4_NF_ALT,false,1978923,0,98,0,2128055,4107076,0.000049519434104034266,0.0,0.5181435649109001
VIN5_NF_ALT,false,2346416,0,0,0,1066454,3412870,0.0,0.0,0.3124801120464594
VIN6_NF_ALT,false,3692486,0,0,0,69413,3761899,0.0,0.0,0.018451585223314075
VIN7_NF_ALT,false,3159097,0,0,0,76989,3236086,0.0,0.0,0.023790776882938215
VIN8_NF_ALT,false,6591,0,1,2628,4488575,4497795,0.00010845986984815618,0.28503253796095446,0.9979501066633761
VIN9_NF_ALT,false,3821,0,1,709,3730979,3735510,0.00022070183182520416,0.15647759876406975,0.9987870464809356
VIN10_F_ALT,true,3371403,0,2897,0,50821,3425121,0.0008585484396763773,0.0,0.014837723981138185
VIN1_F_ALT,true,3792585,0,82357,0,61091,3936033,0.021253737475296405,0.0,0.015520957268396886
VIN2_F_ALT,true,2798637,0,0,0,54536,2853173,0.0,0.0,0.01911415816706523
VIN3_F_ALT,true,3894,0,0,45,3641234,3645173,0.0,0.011424219345011425,0.9989193928518619
VIN4_F_ALT,true,3434,0,0,12,2929302,2932748,0.0,0.003482298316889147,0.9988249928053825
VIN5_F_ALT,true,2986507,0,0,0,393069,3379576,0.0,0.0,0.11630719356510995
VIN6_F_ALT,true,2872129,0,0,0,52311,2924440,0.0,0.0,0.01788752718469177
VIN7_F_ALT,true,3483936,0,0,0,48605,3532541,0.0,0.0,0.01375921751509749
VIN8_F_ALT,true,3644115,0,0,0,57210,3701325,0.0,0.0,0.015456627018702762
VIN9_F_ALT,true,4204017,0,0,0,53775,4257792,0.0,0.0,0.01262978557900433
