vin,failed,day,dtf,ged_cnt_2,vsi_when_ged2_mean,vsi_mean,depth_delta
VIN10_F_ALT,True,2025-12-15,1.0,2897,23.14573,26.582605,-3.4368763
VIN11_NF_ALT,False,2025-03-18,,6,24.833332,27.461254,-2.627922
VIN11_NF_ALT,False,2025-09-07,,142,24.58831,24.229803,0.35850716
VIN11_NF_ALT,False,2025-09-08,,38,22.539738,16.041574,6.498163
VIN11_NF_ALT,False,2025-09-09,,129,24.408216,24.312025,0.096191406
VIN15_NF_ALT,False,2024-09-19,,18,24.5,26.102537,-1.6025372
VIN15_NF_ALT,False,2024-09-20,,9,20.8,21.959623,-1.1596241
VIN1_F_ALT,True,2024-12-21,343.0,23,29.07826,27.80937,1.2688904
VIN1_F_ALT,True,2025-11-07,22.0,2,27.9,28.106041,-0.20604134
VIN1_F_ALT,True,2025-11-08,21.0,765,28.166367,27.276411,0.8899555
VIN1_F_ALT,True,2025-11-09,20.0,1033,28.247822,28.37872,-0.13089752
VIN1_F_ALT,True,2025-11-10,19.0,6692,28.380722,28.297932,0.082790375
VIN1_F_ALT,True,2025-11-11,18.0,10573,28.35549,28.215782,0.13970757
VIN1_F_ALT,True,2025-11-12,17.0,9711,28.32841,28.05096,0.27744865
VIN1_F_ALT,True,2025-11-13,16.0,8683,28.585217,27.863956,0.7212601
VIN1_F_ALT,True,2025-11-14,15.0,12367,28.15754,28.04746,0.11007881
VIN1_F_ALT,True,2025-11-15,14.0,9132,28.099163,27.96991,0.12925339
VIN1_F_ALT,True,2025-11-16,13.0,11666,28.15222,27.762564,0.38965607
VIN1_F_ALT,True,2025-11-17,12.0,10207,28.12712,27.81449,0.3126297
VIN1_F_ALT,True,2025-11-18,11.0,1503,27.825802,27.185543,0.6402588
VIN4_NF_ALT,False,2026-01-22,,98,24.867346,28.033417,-3.166071
VIN8_NF_ALT,False,2024-10-04,,1,27.2,27.739086,-0.5390854
VIN9_NF_ALT,False,2025-02-08,,1,24.4,28.372385,-3.9723854
